id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
4569528,Rymlig lägenhet nära centrum,10759300,Otto,,Östermalms,59.35263,18.08682,Entire home/apt,3058,5,68,2024-08-13,0.56,1,341,3,
4586061,Luxury Living next to Beautiful Park,23771155,Anna,,Norrmalms,59.3414,18.0436,Entire home/apt,3000,88,1,2016-07-28,0.01,1,300,0,
4595163,Luxury Apartment in Heart of Elegant Area,1151067,Alexander,,Östermalms,59.33707,18.08795,Entire home/apt,,3,84,2024-12-07,1.21,1,3,2,
4683232,"Light studio apartment with balcony, Stockholm",24335142,Josefin,,Södermalms,59.314,18.08391,Entire home/apt,,3,111,2024-09-29,0.93,1,1,7,
4723486,Cosy 58m2 in SOFO with balcony!,6437888,Jezzica,,Södermalms,59.314404,18.081444,Entire home/apt,1541,4,85,2024-10-27,0.73,1,3,12,
4736291,Modern OldStyle Central Apartment,24451565,Karin,,Norrmalms,59.34921,18.05905,Entire home/apt,5000,2,18,2023-08-21,0.15,1,119,0,
4760460,Townhouse by the waterfront,24563562,Cecilia And Anders,,Södermalms,59.307,18.09623,Entire home/apt,,1,66,2018-11-03,0.55,1,0,0,
4808886,Mysig sekelskifteslägenhet Hornstull,24768573,Anna,,Södermalms,59.31982,18.03371,Entire home/apt,,7,12,2024-08-10,0.40,1,4,3,
4831733,Cute Island Apt Close to Sthlm City,24872682,Frida,,Södermalms,59.3185,18.02484,Entire home/apt,,3,59,2024-05-20,0.49,1,0,1,
4839907,Barnvänlig minitrea nära Södermalm,24907465,Marcella,,Enskede-Årsta-Vantörs,59.29876,18.05582,Private room,,4,11,2023-01-06,0.13,1,0,0,
4927639,"Bright, spacious apartment, close to Södermalm",2352109,Jakob,,Skarpnäcks,59.29675,18.10338,Entire home/apt,1000,2,25,2024-11-24,0.32,1,250,10,
4984631,Modern 3 room apartment w. balcony,5974065,Anna,,Enskede-Årsta-Vantörs,59.26592,18.05942,Entire home/apt,820,5,6,2019-07-21,0.06,1,28,0,
5114108,Private room in a charming shared apartment,26424883,Marco,,Kungsholmens,59.33366,18.0157,Private room,,1,37,2023-07-09,0.49,1,0,0,
5117906,Nice room in quiet area and close to subway,26423576,Patrik,,Bromma,59.34482,17.8878,Private room,670,2,32,2024-09-01,0.28,1,179,2,
5135270,Three rooms and a lovely balcony!,26545864,Conny,,Södermalms,59.31857,18.03696,Entire home/apt,,3,111,2024-10-31,0.93,1,0,12,
5147517,Modern och mysig villa med pool nära Stockholm C,26614020,Karin,,Farsta,59.27164,18.0876,Entire home/apt,5057,3,13,2024-08-02,0.19,1,361,5,
5211276,Konstnärs lägenhet i Hornstull,26958984,Eva Vilda,,Södermalms,59.31534,18.0347,Entire home/apt,2500,3,4,2016-11-09,0.04,1,358,0,
5218468,Perfect family vacation in Stockholm,8114578,Vera,,Skärholmens,59.29211,17.9223,Entire home/apt,2150,5,9,2024-08-19,0.10,1,30,3,
5279090,Sjönära mysigt radhus (cleaning fee included).,16172668,Johan,,Hässelby-Vällingby,59.37677,17.79983,Entire home/apt,1200,2,36,2022-01-02,0.30,1,0,0,
5283346,Lägenhet på Söder,27353732,Kajsa,,Södermalms,59.30721,18.08785,Entire home/apt,,1,0,,,1,0,0,
